probability,|E|,diameter,clustering coefficient,# of cycles,# of ad cycles,cycle size (av),cycle size (std),
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,0.225,12.5,-11.627906976744185,0.6557377049180261,50.0,69.16666666666664,-18.52713178294573,-9.893761579667974,
0.15000000000000002,0.33392857142857146,13.333333333333334,-15.789473684210526,89.25081433224759,40.0,52.02908749706781,-11.236464138462235,-10.517243723331028,
0.2,0.30194805194805197,14.37908496732026,-6.25,52.151462994836486,34.92063492063492,40.91890982031392,-8.504600906724354,-14.519995422138926,
